year,month,watchlist_wells,watchlist_pads,truth_active_pads,detected_pads,TP,FP,FN,precision,recall,baker_hughes_avg
2025,7,265,81,17,31,9,22,8,0.2903225806451613,0.5294117647058824,18.75
2025,8,251,76,18,15,4,11,14,0.26666666666666666,0.2222222222222222,18.75
2025,9,238,73,15,11,2,9,13,0.18181818181818182,0.13333333333333333,18.75
2025,10,233,72,13,36,7,29,6,0.19444444444444445,0.5384615384615384,18.75
2025,11,230,70,17,27,10,17,7,0.37037037037037035,0.5882352941176471,18.75
2025,12,230,70,15,22,8,14,7,0.36363636363636365,0.5333333333333333,18.75
